ID Geography,County,State,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018)
05000US48141,El Paso County, TX,39945,40170,43692,42165,44489,43958,1449,1315,2079,1643,1991,2037
05000US18039,Elkhart County, IN,45387,49937,49556,54216,58960,58350,2212,2239,2221,3235,3870,4112
05000US48139,Ellis County, TX,57880,60294,68095,70210,72138,77794,5448,5499,5167,4248,4357,3774
05000US01051,Elmore County, AL,50699,55530,52502,52579,60558,60796,6535,5844,5977,6661,6672,4766
05000US36029,Erie County, NY,51245,50132,52214,54246,55604,56369,1158,1084,1164,1403,1224,1036
05000US39043,Erie County, OH,46073,48734,47544,48949,54958,49751,2283,4888,2283,5461,3778,4091
05000US42049,Erie County, PA,44292,45560,47386,48964,50614,48007,2013,2075,2957,2297,2082,2624
05000US12033,Escambia County, FL,42877,46655,46001,44788,48631,51050,2312,2021,1907,3629,2800,2367
05000US25009,Essex County, MA,67522,70366,68455,73901,75480,76604,1735,1722,2565,2489,1846,2536
05000US34013,Essex County, NJ,53610,54754,52041,54277,60430,63368,2515,1899,1348,3129,2154,3408
05000US01055,Etowah County, AL,39459,40529,43346,41152,41576,45868,4190,2807,3060,2983,3575,3875
05000US02090,Fairbanks North Star Borough, AK,69113,69820,72975,77328,76747,75448,4914,6748,6660,9603,9653,6638
05000US51059,Fairfax County, VA,111079,110674,113208,115717,118279,122227,2434,1976,2765,2312,3347,2180
05000US09001,Fairfield County, CT,82084,85925,86414,90123,91198,91079,2165,2989,2417,2925,2340,2690
05000US39045,Fairfield County, OH,56286,59933,61291,65316,67310,67144,3105,3571,2353,5128,4670,4196
05000US05045,Faulkner County, AR,49149,51650,50596,48506,47964,51437,5054,4292,3901,5422,5864,6401
05000US51061,Fauquier County, VA,82823,91987,91940,94347,98585,92145,5800,7930,9515,13017,7511,9810
05000US13113,Fayette County, GA,81394,77016,78557,80626,84742,93468,6588,5712,4446,4995,6346,9306
05000US21067,Fayette County, KY,47535,47968,51948,53178,56137,54896,2510,2795,1988,2682,3391,2466
05000US42051,Fayette County, PA,38903,36562,40495,43140,44184,52984,3691,2472,2128,3613,4312,3412
05000US12035,Flagler County, FL,46055,51622,48864,49395,49652,58963,4153,1681,4129,3294,4792,4145
05000US30029,Flathead County, MT,47802,47362,46899,50142,59735,53193,3918,3672,5306,3478,4466,6311
05000US45041,Florence County, SC,41331,43148,40883,46524,42929,48790,3250,4423,2497,4915,4248,3759
05000US13115,Floyd County, GA,37296,41752,40510,49865,45854,38462,4441,4013,2829,6375,5448,7386
05000US18043,Floyd County, IN,57401,52819,58096,58586,60690,66391,4405,3058,5865,3807,4597,8953
05000US55039,Fond du Lac County, WI,54198,51717,57620,58310,61417,57415,3942,1687,3994,3711,2912,4122
05000US28035,Forrest County, MS,35422,38904,33779,37275,42389,38837,4237,3773,4493,6881,6217,2737
05000US13117,Forsyth County, GA,86052,85639,94537,100909,102084,104687,4032,2390,7799,3710,3101,3626
05000US37067,Forsyth County, NC,45580,45220,46477,48271,50185,49166,2317,2329,2388,2215,2145,2108
05000US48157,Fort Bend County, TX,88023,87973,95389,90680,90845,91931,3770,5196,4332,2488,4185,2956
