County,State,SizeRank,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Chemung County,New York,574,#DIV/0!,#DIV/0!,85200,88683,92450,100267,92450,90733,98225,94608,97125,96817,104500
Chenango County,New York,813,#DIV/0!,86800,81992,81150,83692,85642,81125,81567,77717,84133,90217,103875,107000
Cherokee County,Georgia,272,177430,166058,157067,141000,140500,165250,179333,196283,209700,225800,253325,279525,284700
Cherokee County,North Carolina,1097,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,132340,136350,142633,150200,156942,167700
Chesapeake City,Virginia,262,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,230057,226342,235692,243175,257042,254500
Cheshire County,New Hampshire,626,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,181529,189783,203325,202250
Chester County,Pennsylvania,122,289900,273633,290492,281550,280467,284267,288042,288942,295450,306600,310692,327633,340450
Chesterfield County,Virginia,191,208990,198358,186783,174508,169058,177475,187067,196933,204642,217167,230492,244692,271350
Chilton County,Alabama,884,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,102217,120567,130000,161100
Chippewa County,Wisconsin,721,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,128500,126900,130650,138000,147883,159050,165367,170650
