County,State,2013,2014,2015,2016,2017,2018
Lafayette Parish, LA,163300,164200,172300,181100,188000,193500
Lafourche Parish, LA,134600,131400,152400,153700,156400,155000
Lake County, OH,149200,145200,150900,150900,157700,160600
Lake County, CA,166400,159300,167600,217400,210500,245700
Lake County, FL,126800,141400,155100,163600,185200,204000
Lake County, IN,135800,134600,138900,148100,147200,154000
Lake County, IL,236600,247500,258100,264100,262600,269300
Lancaster County, SC,150100,161000,159600,184000,187700,211500
Lane County, OR,206700,214700,235800,243500,258300,281200
Lapeer County, MI,133500,135800,154700,165100,164300,190800
LaPorte County, IN,125200,128300,126000,124200,131300,133600
Laramie County, WY,197800,201200,204500,210200,217500,246500
Larimer County, CO,260100,269700,298100,339900,359800,398300
LaSalle County, IL,121300,121700,131400,122700,135300,126300
Lauderdale County, AL,118600,114000,125300,139400,144800,157800
Lauderdale County, MS,87200,82000,87400,97100,98000,107400
Laurens County, SC,82800,92100,89100,91600,87000,95500
Lawrence County, PA,93700,99300,97600,107200,115200,110300
Lea County, NM,105400,114100,116900,120200,148500,134200
Leavenworth County, KS,169000,160300,170500,174700,177600,196000
Lebanon County, PA,162300,168100,162700,168500,172900,178000
Lee County, AL,138100,156000,169000,163400,160700,182700
Lee County, MS,113100,140000,135700,127000,132300,135300
Lee County, FL,154800,163400,184200,210900,225300,235000
Lehigh County, PA,187200,188600,196800,198800,211300,213400
Lenawee County, MI,108900,119100,123600,136300,141800,141800
Leon County, FL,176100,184600,179100,197600,201300,210700
Lewis and Clark County, MT,207200,205900,219500,222100,244200,269500
Lewis County, WA,163700,173200,169900,185300,197900,246400
Lexington County, SC,142000,141700,146700,150900,159500,160700
Liberty County, TX,89000,80900,106100,94300,99200,115700
Liberty County, GA,120500,118600,118300,135200,,
Licking County, OH,146100,158600,157400,163400,169400,188900
Limestone County, AL,136600,143100,152600,151500,158500,164800
Lincoln County, NC,156100,148800,152300,159200,168200,180700
Linn County, OR,173800,167400,176300,190700,216100,254300
Linn County, IA,145400,151000,149600,151700,157600,157200
