County,State,2013,2014,2015,2016,2017,2018
Lynchburg city, VA,78014,79047,79812,80212,80995,82126
Macomb County, MI,854769,860112,864840,867730,871375,874759
Macon County, IL,109278,108350,107303,106550,105801,104712
Madera County, CA,152389,154548,154998,154697,156890,157672
Madison County, AL,346892,350299,353089,356967,361046,366519
Madison County, IL,267225,266560,266209,265759,265428,264461
Madison County, IN,130482,130069,129723,129296,129498,129641
Madison County, KY,85590,87340,87824,89547,91226,92368
Madison County, MS,100412,101688,103465,105114,104618,105630
Madison County, NY,72382,72369,71849,71329,70965,70795
Madison County, TN,98733,98178,97610,97663,97643,97605
Mahoning County, OH,233869,233204,231900,230008,229796,229642
Manatee County, FL,342106,351746,363369,375888,385571,394855
Manitowoc County, WI,80654,80160,79806,79536,79175,79074
Marathon County, WI,135416,135780,135868,135603,135732,135428
Maricopa County, AZ,4009412,4087191,4167947,4242997,4307033,4410824
Marin County, CA,258365,260750,261221,260651,260955,259666
Marion County, FL,337362,339167,343254,349020,354353,359977
Marion County, IN,928281,934243,939020,941229,950082,954670
Marion County, OH,65905,65720,65355,65096,64967,65256
Marion County, OR,323614,326110,330700,336316,341286,346868
Marquette County, MI,67700,67676,67215,66435,66502,66516
Marshall County, AL,94760,94636,94725,95157,95548,96109
Martin County, FL,151263,153392,156283,158701,159923,160912
Mason County, WA,,,,,,65507
Matanuska-Susitna Borough, AK,95192,97882,101095,104365,106532,107610
Maui County, HI,160195,163046,164593,165379,166271,167218
Maury County, TN,83761,85515,87757,89981,92163,94340
Mayag?¬ez Municipio, PR,84170,81915,79510,77748,75525,71986
McCracken County, KY,65373,65316,65018,65162,65385,65346
McHenry County, IL,307409,307283,307343,307004,309122,308570
McKinley County, NM,73308,74098,76708,74923,72564,72290
McLean County, IL,174647,174061,173166,172418,172290,172828
McLennan County, TX,241481,243441,245671,247934,251259,254607
Mecklenburg County, NC,990977,1012539,1034070,1054835,1076837,1093901
Medina County, OH,174915,176029,176395,177221,178371,179146
Mendocino County, CA,87192,87869,87649,87628,88018,87606
Merced County, CA,263228,266353,268455,268672,272673,274765
Mercer County, NJ,370414,371537,371398,371023,374733,369811
Mercer County, PA,115195,114884,114234,112913,111750,110683
Merrimack County, NH,146849,147171,147994,148582,149216,151132
