ID Geography,County,State,2013,2014,2015,2016,2017,2018
05000US26081,Kent County, MI,51992,53304,54340,59668,61125,61537
05000US44003,Kent County, RI,65631,62261,65931,63101,75143,68994
05000US21117,Kenton County, KY,53761,54300,52043,62182,58595,64441
05000US06029,Kern County, CA,46879,47644,51342,49903,49854,51579
05000US45055,Kershaw County, SC,,,,,50010,51467
05000US53033,King County, WA,71834,75834,81916,86095,89675,95009
05000US06031,Kings County, CA,45774,42784,45746,53234,57555,61663
05000US36047,Kings County, NY,47520,47966,51141,55150,56942,61220
05000US53035,Kitsap County, WA,62672,61794,66090,69171,73026,76945
05000US41035,Klamath County, OR,36885,39148,43952,45604,38916,45354
05000US47093,Knox County, TN,49165,46860,52229,52102,55266,55632
05000US16055,Kootenai County, ID,54919,48776,47860,51765,57219,55236
05000US18085,Kosciusko County, IN,51221,53825,52888,53963,63463,55253
05000US55063,La Crosse County, WI,51551,48872,49933,54823,57033,60905
05000US42069,Lackawanna County, PA,45295,45265,48518,47475,49172,53302
05000US22055,Lafayette Parish, LA,57949,51060,51981,49969,52265,60071
05000US22057,Lafourche Parish, LA,52373,41842,52589,51772,52283,50296
05000US06033,Lake County, CA,37079,34529,37294,42029,48930,48554
05000US12069,Lake County, FL,44026,47191,50305,50226,51383,52096
05000US17097,Lake County, IL,74869,77772,82113,83152,85895,87133
05000US18089,Lake County, IN,48302,50852,50582,53681,54981,55154
05000US39085,Lake County, OH,54906,58721,60810,61870,59618,65835
05000US31109,Lancaster County, NE,52019,51766,53807,58845,59306,57650
05000US42071,Lancaster County, PA,56922,57403,59262,61335,63407,66277
05000US45057,Lancaster County, SC,38500,44412,45676,56216,61914,57224
05000US41039,Lane County, OR,43459,44877,47318,47777,50654,53172
05000US26087,Lapeer County, MI,52960,50860,57762,54309,55866,65561
05000US18091,LaPorte County, IN,46506,45744,45838,53507,50736,51584
05000US56021,Laramie County, WY,61661,57551,60599,62221,61961,64306
05000US08069,Larimer County, CO,59052,56575,64919,66469,69102,71091
05000US17099,LaSalle County, IL,48552,50432,51936,57476,56896,51838
05000US01077,Lauderdale County, AL,43891,40309,42577,43427,45352,49014
05000US28075,Lauderdale County, MS,32217,40333,37676,42364,46983,37971
