ID Geography,Geography,Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Income (2013),Income (2014),Income (2015),Income (2016),Income (2017),Income (2018),Population (2013),Population (2014),Population (2015),Population (2016),Population (2017),Population (2018),,
05000US29051,"Cole County, MO",50780,51210,56855,55303,52609,63568,4791,2516,4688,3448,5105,4309,76699,76557,76720,76631,76708,76796,,
05000US12021,"Collier County, FL",54406,58026,62126,61228,66048,69867,4231,2918,2536,3372,3069,3962,339642,348777,357305,365136,372880,378488,,
05000US48085,"Collin County, TX",80273,86040,86217,89638,94933,96051,2542,2639,2184,2679,2291,3181,854778,885241,914127,939585,969603,1005146,,
05000US12023,"Columbia County, FL",45220,38520,47808,42019,40811,48848,4578,3616,6031,5563,5463,6174,67543,67857,68348,69299,69612,70503,,
05000US13073,"Columbia County, GA",72167,66925,75440,72737,74164,82024,5368,3491,6599,6630,4654,5183,135416,139257,144052,147450,151579,154291,,
05000US42037,"Columbia County, PA",46530,48540,42599,49186,51726,50601,3772,4507,4486,4210,3449,2735,66797,67122,66672,66420,65932,65456,,
05000US39029,"Columbiana County, OH",42100,42640,41887,47864,41818,43745,3513,3345,2127,4294,3128,3359,105893,105686,104806,103685,103077,102665,,
05000US48091,"Comal County, TX",72759,62389,67363,77425,71060,76203,4468,7351,6448,4726,5692,3800,118480,123694,129048,134788,141009,148373,,
05000US40031,"Comanche County, OK",41488,47235,47587,51164,51059,52089,3674,4394,3680,5828,2197,2973,124937,125033,124648,122136,121526,120422,,
05000US06013,"Contra Costa County, CA",79100,80361,83104,91045,95339,101618,3132,1989,2818,1609,2701,1585,1094205,1111339,1126745,1135127,1147439,1150215,,
05000US17031,"Cook County, IL",53827,55069,56851,60046,61405,63353,876,652,656,784,665,1098,5240700,5246456,5238216,5203499,5211263,5180493,,
05000US48099,"Coryell County, TX",51217,47042,45998,51125,52769,46131,2705,4682,5477,3069,3443,7895,76192,75562,75503,74686,74913,74808,,
05000US13077,"Coweta County, GA",61351,59506,67351,71220,72787,69240,6140,4473,5719,3653,6539,4495,133180,135571,138427,140526,143114,145864,,
05000US53015,"Cowlitz County, WA",48417,42223,49949,50637,49456,59225,3560,2904,3647,4377,2785,4614,101860,102133,103468,105160,106910,108987,,
05000US05031,"Craighead County, AR",41134,42691,40085,43678,50422,44810,4065,3605,5153,3284,3825,2712,101488,102518,104354,105835,107115,108558,,
